id,استان,شهرستان,جمع,مرد,زن,شهری,روستایی
02,مرکزي,آشتيان, 15.7 , 8.0 , 7.7 , 8.8 , 6.9 
26,خوزستان,آغاجاري, 17.9 , 8.8 , 9.1 , 13.6 , 4.2 
08,گلستان,آق قلا, 139.5 , 69.8 , 69.7 , 47.3 , 92.3 
01,مازندران,آمل, 417.2 , 208.8 , 208.4 , 258.8 , 158.4 
06,قزوين,آوج,40.6,20.8,19.8,12.1,28.5
02,مازندران,بابل, 546.8 , 274.6 , 272.2 , 325.6 , 221.2 
16,مازندران,بابلسر, 141.4 , 69.7 , 71.7 , 82.7 , 58.7 
37,خراسان رضوئ,باخرز, 50.0 , 24.9 , 25.1 , 11.0 , 39.0 
19,آذربايجان غربي,باروق, 22.5 , 11.4 , 11.1 , 4.3 , 18.2 
07,كهگيلويه وبويراحمد,باشت, 21.7 , 10.9 , 10.9 , 12.1 , 9.6 
15,خوزستان,باغ ملک, 105.5 , 53.8 , 51.7 , 54.0 , 51.4 
01,كرمان,بافت, 87.3 , 43.7 , 43.5 , 43.0 , 44.3 
02,يزد,بافق, 60.7 , 31.0 , 29.7 , 56.3 , 4.5 
01,كردستان,بانه, 165.2 , 83.7 , 81.5 , 123.6 , 41.6 
24,خوزستان,باوي, 106.4 , 53.2 , 53.2 , 78.9 , 27.5 
31,خراسان رضوئ,بجستان, 32.6 , 16.3 , 16.3 , 15.6 , 17.1 
02,خراسان شمالي,بجنورد, 344.9 , 173.0 , 171.8 , 253.2 , 91.6 
35,فارس,بختگان, 32.6 , 16.2 , 16.4 , 6.9 , 25.7 
10,ايلام,بدره, 15.2 , 7.5 , 7.7 , 5.4 , 9.8 
